"expr","time"
"fast13.not.pruned",1639490821
"fast14hypcol.pruned",12521564
"fast14hypcol.pruned",13599044
"fast13.not.pruned",1661137222
"fast14hypcol.pruned",12365846
"fast14hypcol.not.pruned",31086569
"fast14hyprow.pruned",12452807
"fast13.not.pruned",1636521970
"fast13.pruned",1103815489
"fast13.pruned",1106295087
"fast14hyprow.pruned",12458670
"fast13.pruned",1099889411
"fast14hyprow.not.pruned",31133883
"fast14hypcol.not.pruned",31124084
"fast13.pruned",1101876435
"fast14hypcol.not.pruned",31082551
"fast14hyprow.not.pruned",31239663
"fast14hyprow.not.pruned",32128543
"fast14hyprow.not.pruned",31140443
"fast14hyprow.not.pruned",31302844
"fast14hyprow.pruned",12675150
"fast14hyprow.pruned",12531773
"fast14hyprow.pruned",12964815
"fast13.pruned",1114990613
"fast14hyprow.not.pruned",31785291
"fast14hypcol.pruned",12933532
"fast14hyprow.not.pruned",32821361
"fast14hyprow.not.pruned",31403909
"fast14hyprow.pruned",13432051
"fast14hypcol.not.pruned",31188618
"fast14hypcol.pruned",12435423
"fast13.pruned",1101965733
"fast13.pruned",1093703700
"fast14hypcol.pruned",12476874
"fast13.not.pruned",1735505277
"fast13.pruned",1104891944
"fast14hypcol.pruned",12437760
"fast13.not.pruned",1639529648
"fast14hyprow.pruned",12441983
"fast14hypcol.not.pruned",31123715
"fast14hypcol.not.pruned",31239581
"fast14hypcol.pruned",12421770
"fast14hyprow.pruned",12628820
"fast13.not.pruned",1638393128
"fast13.not.pruned",1629553405
"fast13.pruned",1120937212
"fast13.not.pruned",1634201698
"fast14hypcol.not.pruned",31398169
"fast14hypcol.pruned",12474455
"fast14hyprow.not.pruned",31555896
"fast14hypcol.not.pruned",31768399
"fast14hyprow.pruned",12608648
"fast14hypcol.not.pruned",34882841
"fast14hyprow.not.pruned",31135195
"fast14hypcol.not.pruned",31079271
"fast13.pruned",1102719149
"fast14hyprow.pruned",12479293
"fast13.not.pruned",1661663211
"fast13.not.pruned",1636023902
"fast14hypcol.pruned",12547066
